x,f
-4.0,8.391e-13
-2.0,8.359e-13
0.0,8.345e-13
2.0,8.359e-13
4.0,8.391e-13
6.0,8.439e-13
8.0,8.5e-13
10.0,8.573e-13
12.0,8.655e-13
14.0,8.75e-13
16.0,8.859e-13
18.0,8.981e-13
20.0,9.119e-13
22.0,9.273e-13
24.0,9.442e-13
26.0,9.626e-13
28.0,9.825e-13
30.0,1.004e-12
32.0,1.027e-12
34.0,1.052e-12
36.0,1.078e-12
38.0,1.106e-12
40.0,1.135e-12
42.0,1.166e-12
44.0,1.199e-12
46.0,1.233e-12
48.0,1.27e-12
50.0,1.308e-12
52.0,1.347e-12
54.0,1.389e-12
56.0,1.432e-12
58.0,1.478e-12
60.0,1.525e-12
62.0,1.574e-12
64.0,1.625e-12
66.0,1.678e-12
68.0,1.734e-12
70.0,1.791e-12
72.0,1.85e-12
74.0,1.912e-12
76.0,1.976e-12
78.0,2.042e-12
80.0,2.11e-12
82.0,2.181e-12
84.0,2.254e-12
86.0,2.329e-12
88.0,2.408e-12
90.0,2.488e-12
92.0,2.572e-12
94.0,2.658e-12
96.0,2.746e-12
98.0,2.838e-12
100.0,2.933e-12
102.0,3.03e-12
104.0,3.13e-12
106.0,3.234e-12
108.0,3.341e-12
110.0,3.451e-12
112.0,3.564e-12
114.0,3.681e-12
116.0,3.801e-12
118.0,3.925e-12
120.0,4.053e-12
122.0,4.184e-12
124.0,4.32e-12
126.0,4.459e-12
128.0,4.603e-12
130.0,4.75e-12
132.0,4.902e-12
134.0,5.059e-12
136.0,5.22e-12
138.0,5.386e-12
140.0,5.556e-12
142.0,5.732e-12
144.0,5.912e-12
146.0,6.098e-12
148.0,6.29e-12
150.0,6.487e-12
152.0,6.689e-12
154.0,6.897e-12
156.0,7.112e-12
158.0,7.333e-12
160.0,7.56e-12
162.0,7.793e-12
164.0,8.034e-12
166.0,8.281e-12
168.0,8.535e-12
170.0,8.797e-12
172.0,9.067e-12
174.0,9.344e-12
176.0,9.629e-12
178.0,9.923e-12
180.0,1.023e-11
182.0,1.054e-11
184.0,1.086e-11
186.0,1.119e-11
188.0,1.152e-11
190.0,1.187e-11
192.0,1.223e-11
194.0,1.26e-11
196.0,1.298e-11
198.0,1.338e-11
200.0,1.378e-11
202.0,1.419e-11
204.0,1.462e-11
206.0,1.506e-11
208.0,1.552e-11
210.0,1.598e-11
212.0,1.646e-11
214.0,1.696e-11
216.0,1.747e-11
218.0,1.799e-11
220.0,1.854e-11
222.0,1.909e-11
224.0,1.967e-11
226.0,2.026e-11
228.0,2.087e-11
230.0,2.15e-11
232.0,2.214e-11
234.0,2.281e-11
236.0,2.35e-11
238.0,2.421e-11
240.0,2.494e-11
242.0,2.569e-11
244.0,2.647e-11
246.0,2.727e-11
248.0,2.81e-11
250.0,2.895e-11
252.0,2.983e-11
254.0,3.073e-11
256.0,3.167e-11
258.0,3.263e-11
260.0,3.363e-11
262.0,3.466e-11
264.0,3.572e-11
266.0,3.681e-11
268.0,3.794e-11
270.0,3.91e-11
272.0,4.031e-11
274.0,4.155e-11
276.0,4.283e-11
278.0,4.416e-11
280.0,4.552e-11
282.0,4.694e-11
284.0,4.84e-11
286.0,4.991e-11
288.0,5.147e-11
290.0,5.308e-11
292.0,5.474e-11
294.0,5.646e-11
296.0,5.824e-11
298.0,6.008e-11
300.0,6.199e-11
302.0,6.395e-11
304.0,6.599e-11
306.0,6.809e-11
308.0,7.027e-11
310.0,7.253e-11
312.0,7.486e-11
314.0,7.728e-11
316.0,7.978e-11
318.0,8.237e-11
320.0,8.505e-11
322.0,8.782e-11
324.0,9.07e-11
326.0,9.368e-11
328.0,9.677e-11
330.0,9.997e-11
332.0,1.033e-10
334.0,1.067e-10
336.0,1.103e-10
338.0,1.14e-10
340.0,1.178e-10
342.0,1.218e-10
344.0,1.259e-10
346.0,1.302e-10
348.0,1.347e-10
350.0,1.393e-10
352.0,1.441e-10
354.0,1.491e-10
356.0,1.542e-10
358.0,1.596e-10
360.0,1.652e-10
362.0,1.71e-10
364.0,1.77e-10
366.0,1.833e-10
368.0,1.899e-10
370.0,1.966e-10
372.0,2.037e-10
374.0,2.111e-10
376.0,2.187e-10
