x,f
56740.0,0.0
56760.0,0.15
56780.0,0.6
56800.0,2.81
56820.0,8.44
56840.0,10.5
56860.0,18.9
56880.0,19.3
56900.0,15.7
56920.0,24.9
56940.0,29.7
56960.0,22.9
56980.0,23.3
57000.0,31.8
57020.0,34.2
57040.0,38.6
57060.0,39.0
57080.0,46.2
57100.0,47.1
57120.0,46.8
57140.0,48.2
57160.0,48.9
57180.0,49.7
57200.0,50.5
57220.0,51.8
57240.0,51.5
57260.0,52.7
57280.0,54.0
57300.0,54.7
57320.0,54.8
57340.0,56.0
57360.0,58.1
57380.0,58.6
57400.0,59.5
57420.0,59.4
57440.0,61.8
57460.0,62.1
57480.0,62.8
57500.0,63.8
57520.0,65.3
57540.0,66.2
57560.0,66.8
57580.0,67.4
57600.0,68.8
57620.0,69.0
57640.0,71.3
57660.0,72.5
57680.0,72.5
57700.0,74.1
57720.0,75.5
57740.0,76.9
57760.0,77.6
57780.0,77.5
57800.0,79.6
57820.0,76.4
57840.0,77.8
57860.0,79.8
57880.0,80.5
57900.0,79.5
57920.0,89.1
57940.0,78.5
57960.0,82.6
57980.0,87.1
58000.0,86.4
58020.0,91.5
58040.0,83.8
58060.0,91.8
58080.0,88.5
58100.0,92.6
58120.0,88.0
58140.0,85.7
58160.0,93.7
58180.0,89.1
58200.0,91.9
58220.0,101.0
58240.0,96.3
58260.0,101.0
58280.0,100.0
58300.0,98.5
58320.0,101.0
58340.0,101.0
58360.0,105.0
58380.0,106.0
58400.0,108.0
58420.0,109.0
58440.0,106.0
58460.0,112.0
58480.0,107.0
58500.0,111.0
58520.0,113.0
58540.0,110.0
58560.0,106.0
58580.0,109.0
58600.0,112.0
58620.0,117.0
58640.0,119.0
58660.0,114.0
58680.0,113.0
58700.0,115.0
58720.0,118.0
58740.0,118.0
58760.0,124.0
58780.0,125.0
58800.0,118.0
58820.0,128.0
58840.0,127.0
58860.0,125.0
58880.0,126.0
58900.0,133.0
58920.0,135.0
58940.0,133.0
58960.0,128.0
58980.0,127.0
59000.0,137.0
59020.0,139.0
59040.0,141.0
59060.0,139.0
59080.0,142.0
59100.0,144.0
59120.0,140.0
59140.0,149.0
59160.0,149.0
59180.0,156.0
59200.0,158.0
59220.0,154.0
59240.0,151.0
59260.0,155.0
59280.0,153.0
59300.0,158.0
59320.0,159.0
59340.0,159.0
59360.0,164.0
59380.0,158.0
59400.0,159.0
59420.0,167.0
59440.0,168.0
59460.0,163.0
59480.0,168.0
59500.0,176.0
59520.0,167.0
59540.0,179.0
59560.0,182.0
59580.0,178.0
59600.0,175.0
59620.0,175.0
59640.0,179.0
59660.0,187.0
59680.0,185.0
59700.0,179.0
59720.0,191.0
59740.0,186.0
59760.0,194.0
59780.0,195.0
59800.0,194.0
59820.0,192.0
59840.0,198.0
59860.0,199.0
59880.0,210.0
59900.0,208.0
59920.0,201.0
59940.0,207.0
59960.0,209.0
59980.0,214.0
60000.0,210.0
60020.0,210.0
60040.0,218.0
60060.0,221.0
60080.0,220.0
60100.0,216.0
60120.0,223.0
60140.0,222.0
60160.0,229.0
60180.0,225.0
60200.0,233.0
60220.0,236.0
60240.0,229.0
60260.0,229.0
60280.0,237.0
60300.0,241.0
60320.0,244.0
60340.0,244.0
60360.0,247.0
60380.0,248.0
60400.0,247.0
60420.0,250.0
60440.0,257.0
60460.0,250.0
60480.0,260.0
60500.0,256.0
60520.0,258.0
60540.0,256.0
60560.0,265.0
60580.0,269.0
60600.0,268.0
60620.0,273.0
60640.0,272.0
60660.0,276.0
60680.0,274.0
60700.0,278.0
60720.0,282.0
60740.0,284.0
60760.0,289.0
60780.0,293.0
60800.0,290.0
60820.0,292.0
60840.0,296.0
60860.0,296.0
60880.0,300.0
60900.0,296.0
60920.0,300.0
60940.0,301.0
60960.0,315.0
60980.0,309.0
61000.0,315.0
61020.0,313.0
61040.0,316.0
61060.0,325.0
61080.0,322.0
61100.0,318.0
61120.0,321.0
61140.0,327.0
61160.0,329.0
61180.0,333.0
61200.0,327.0
61220.0,330.0
61240.0,344.0
61260.0,347.0
61280.0,345.0
61300.0,345.0
61320.0,344.0
61340.0,345.0
61360.0,352.0
61380.0,350.0
61400.0,358.0
61420.0,360.0
61440.0,361.0
61460.0,368.0
61480.0,370.0
61500.0,369.0
61520.0,370.0
61540.0,373.0
61560.0,378.0
61580.0,379.0
61600.0,384.0
61620.0,386.0
61640.0,387.0
61660.0,390.0
61680.0,391.0
61700.0,391.0
61720.0,395.0
61740.0,405.0
61760.0,403.0
61780.0,401.0
61800.0,407.0
61820.0,415.0
61840.0,411.0
61860.0,424.0
61880.0,424.0
61900.0,423.0
61920.0,432.0
61940.0,424.0
61960.0,431.0
61980.0,435.0
62000.0,434.0
62020.0,441.0
62040.0,441.0
62060.0,448.0
62080.0,448.0
62100.0,447.0
62120.0,448.0
62140.0,455.0
62160.0,458.0
62180.0,466.0
62200.0,468.0
62220.0,466.0
62240.0,473.0
62260.0,480.0
62280.0,476.0
62300.0,477.0
62320.0,482.0
62340.0,492.0
62360.0,489.0
62380.0,500.0
62400.0,485.0
62420.0,502.0
62440.0,489.0
62460.0,509.0
62480.0,513.0
62500.0,515.0
62520.0,525.0
62540.0,524.0
62560.0,523.0
62580.0,523.0
62600.0,522.0
62620.0,528.0
62640.0,541.0
62660.0,538.0
62680.0,538.0
62700.0,539.0
62720.0,545.0
62740.0,551.0
62760.0,555.0
62780.0,558.0
62800.0,557.0
62820.0,567.0
62840.0,568.0
62860.0,564.0
62880.0,575.0
62900.0,574.0
62920.0,576.0
62940.0,581.0
62960.0,584.0
62980.0,591.0
63000.0,597.0
63020.0,595.0
63040.0,600.0
63060.0,599.0
63080.0,608.0
63100.0,611.0
63120.0,615.0
63140.0,615.0
63160.0,613.0
63180.0,621.0
63200.0,624.0
63220.0,623.0
63240.0,633.0
63260.0,635.0
63280.0,639.0
63300.0,646.0
63320.0,650.0
63340.0,647.0
63360.0,645.0
63380.0,651.0
63400.0,656.0
63420.0,664.0
63440.0,677.0
63460.0,671.0
63480.0,674.0
63500.0,682.0
63520.0,685.0
63540.0,681.0
63560.0,681.0
63580.0,688.0
63600.0,693.0
63620.0,700.0
63640.0,701.0
63660.0,700.0
63680.0,707.0
63700.0,717.0
63720.0,717.0
63740.0,719.0
63760.0,723.0
63780.0,721.0
63800.0,730.0
63820.0,740.0
63840.0,747.0
63860.0,743.0
63880.0,748.0
63900.0,750.0
63920.0,747.0
63940.0,753.0
63960.0,770.0
63980.0,756.0
64000.0,768.0
64020.0,768.0
64040.0,774.0
64060.0,771.0
64080.0,786.0
64100.0,792.0
64120.0,784.0
64140.0,793.0
64160.0,799.0
64180.0,805.0
64200.0,809.0
64220.0,812.0
64240.0,804.0
64260.0,812.0
64280.0,814.0
64300.0,814.0
64320.0,819.0
64340.0,826.0
64360.0,831.0
64380.0,834.0
64400.0,841.0
64420.0,845.0
64440.0,848.0
64460.0,848.0
64480.0,853.0
64500.0,857.0
64520.0,854.0
64540.0,858.0
64560.0,862.0
64580.0,871.0
64600.0,876.0
64620.0,890.0
64640.0,894.0
64660.0,890.0
64680.0,892.0
64700.0,898.0
64720.0,906.0
64740.0,907.0
64760.0,910.0
64780.0,915.0
64800.0,920.0
64820.0,921.0
64840.0,919.0
64860.0,919.0
64880.0,928.0
64900.0,937.0
64920.0,940.0
64940.0,938.0
64960.0,948.0
64980.0,951.0
65000.0,952.0
65020.0,958.0
65040.0,949.0
65060.0,967.0
65080.0,966.0
65100.0,972.0
65120.0,978.0
65140.0,985.0
65160.0,981.0
65180.0,978.0
65200.0,986.0
65220.0,990.0
65240.0,996.0
65260.0,1010.0
65280.0,1000.0
65300.0,1000.0
65320.0,1010.0
65340.0,1010.0
65360.0,1020.0
65380.0,1010.0
65400.0,1020.0
65420.0,1030.0
65440.0,1040.0
65460.0,1040.0
65480.0,1040.0
65500.0,1040.0
65520.0,1040.0
65540.0,1050.0
65560.0,1060.0
65580.0,1050.0
65600.0,1060.0
65620.0,1060.0
65640.0,1060.0
65660.0,1070.0
65680.0,1070.0
65700.0,1080.0
65720.0,1080.0
65740.0,1090.0
65760.0,1090.0
65780.0,1090.0
65800.0,1090.0
65820.0,1100.0
65840.0,1110.0
65860.0,1110.0
65880.0,1100.0
