nu,x,y,z
8920.0,0.0,0.0,0.0
8925.0,0.0,0.0,0.0
8930.0,0.0,0.0,0.0
8935.0,0.0,0.0,0.0
8940.0,0.0,0.0,0.0
8945.0,0.0,0.0,0.0
8950.0,0.0,0.0,0.0
8955.0,0.0,0.0,0.0
8960.0,0.0,0.0,0.0
8965.0,0.0,0.0,0.0
8970.0,0.0,0.0,0.0
8975.0,0.0,0.0,0.0
8980.0,0.0,0.0,0.0
8985.0,0.0,0.0,0.0
8990.0,0.0,0.0,0.0
8995.0,0.0,0.0,0.0
9000.0,0.0,0.0,0.0
9005.0,0.0,0.0,0.0
9010.0,0.0,0.0,0.0
9015.0,0.0,0.0,0.0
9020.0,0.0,0.0,0.0
9025.0,0.0,0.0,0.0
9030.0,0.0,0.0,0.0
9035.0,0.0,0.0,0.0
9040.0,0.0,0.0,0.0
9045.0,0.0,0.0,0.0
9050.0,0.0,0.0,0.0
9055.0,0.0,0.0,0.0
9060.0,0.0,0.0,0.0
9065.0,0.0,0.0,0.0
9070.0,0.0,0.0,0.0
9075.0,7.5e-07,0.0,0.0
9080.0,1.5e-06,0.0,0.0
9085.0,2.25e-06,0.0,0.0
9090.0,3e-06,0.0,0.0
9095.0,4e-06,0.0,0.0
9100.0,5e-06,0.0,0.0
9105.0,6e-06,0.0,0.0
9110.0,7e-06,0.0,0.0
9115.0,8.5e-06,0.0,0.0
9120.0,1e-05,0.0,0.0
9125.0,1.2e-05,0.0,0.0
9130.0,1.43e-05,0.0,0.0
9135.0,1.68e-05,0.0,0.0
9140.0,1.98e-05,0.0,0.0
9145.0,2.28e-05,0.0,0.0
9150.0,2.63e-05,0.0,0.0
9155.0,2.98e-05,0.0,0.0
9160.0,3.376e-05,0.0,0.0
9165.0,3.826e-05,0.0,0.0
9170.0,4.276e-05,0.0,0.0
9175.0,4.775e-05,0.0,0.0
9180.0,5.825e-05,0.0,0.0
9185.0,6.908e-05,0.0,0.0
9190.0,7.299e-05,0.0,0.0
9195.0,7.116e-05,0.0,0.0
9200.0,7.388e-05,0.0,0.0
9205.0,7.965e-05,0.0,0.0
9210.0,7.689e-05,0.0,0.0
9215.0,6.9e-05,0.0,0.0
9220.0,7.008e-05,0.0,0.0
9225.0,6.945e-05,0.0,0.0
9230.0,7.083e-05,0.0,0.0
9235.0,7.053e-05,0.0,0.0
9240.0,6.908e-05,0.0,0.0
9245.0,6.923e-05,0.0,0.0
9250.0,6.77e-05,0.0,0.0
9255.0,7.146e-05,0.0,0.0
9260.0,7.749e-05,0.0,0.0
9265.0,8.464e-05,0.0,0.0
9270.0,8.441e-05,0.0,0.0
9275.0,8.754e-05,0.0,0.0
9280.0,8.795e-05,0.0,0.0
9285.0,9.971e-05,0.0,0.0
9290.0,9.632e-05,0.0,0.0
9295.0,9.539e-05,0.0,0.0
9300.0,0.0001037,0.0,0.0
9305.0,0.0001085,0.0,0.0
9310.0,0.0001058,0.0,0.0
9315.0,0.0001077,0.0,0.0
9320.0,0.0001121,0.0,0.0
9325.0,0.0001193,0.0,0.0
9330.0,0.0001292,0.0,0.0
9335.0,0.0001364,0.0,0.0
9340.0,0.0001526,0.0,0.0
9345.0,0.0001658,0.0,0.0
9350.0,0.0001808,0.0,0.0
9355.0,0.0001861,0.0,0.0
9360.0,0.0001786,0.0,0.0
9365.0,0.0001804,0.0,0.0
9370.0,0.0001885,0.0,0.0
9375.0,0.0001972,0.0,0.0
9380.0,0.0002218,0.0,0.0
9385.0,0.0002408,0.0,0.0
9390.0,0.0002317,0.0,0.0
9395.0,0.0002098,0.0,0.0
9400.0,0.0001938,0.0,0.0
9405.0,0.0001851,0.0,0.0
9410.0,0.0001896,0.0,0.0
9415.0,0.0001875,0.0,0.0
9420.0,0.0001708,0.0,0.0
9425.0,0.000171,0.0,0.0
9430.0,0.0001796,0.0,0.0
9435.0,0.0001865,0.0,0.0
9440.0,0.0001943,0.0,0.0
9445.0,0.0001881,0.0,0.0
9450.0,0.0001885,0.0,0.0
9455.0,0.0002136,0.0,0.0
9460.0,0.0002255,0.0,0.0
9465.0,0.0002267,0.0,0.0
9470.0,0.0002234,0.0,0.0
9475.0,0.0002418,0.0,0.0
9480.0,0.0002695,0.0,0.0
9485.0,0.000271,0.0,0.0
9490.0,0.0002738,0.0,0.0
9495.0,0.0003066,0.0,0.0
9500.0,0.0003269,0.0,0.0
9505.0,0.0003465,0.0,0.0
9510.0,0.0003986,0.0,0.0
9515.0,0.000441,0.0,0.0
9520.0,0.0004719,0.0,0.0
9525.0,0.0005051,0.0,0.0
9530.0,0.0005211,0.0,0.0
9535.0,0.0005132,0.0,0.0
9540.0,0.0005125,0.0,0.0
9545.0,0.0005159,0.0,0.0
9550.0,0.0005549,0.0,0.0
9555.0,0.0006562,0.0,0.0
9560.0,0.0007168,0.0,0.0
9565.0,0.0006502,0.0,0.0
9570.0,0.000514,0.0,0.0
9575.0,0.0004161,0.0,0.0
9580.0,0.000362,0.0,0.0
9585.0,0.0003264,0.0,0.0
9590.0,0.0003004,0.0,0.0
9595.0,0.0002815,0.0,0.0
9600.0,0.000265,0.0,0.0
9605.0,0.0002527,0.0,0.0
9610.0,0.0002424,0.0,0.0
9615.0,0.0002292,0.0,0.0
9620.0,0.0002155,0.0,0.0
9625.0,0.0002072,0.0,0.0
9630.0,0.0001992,0.0,0.0
9635.0,0.0001943,0.0,0.0
9640.0,0.0001914,0.0,0.0
9645.0,0.0001855,0.0,0.0
9650.0,0.0001813,0.0,0.0
9655.0,0.0001724,0.0,0.0
9660.0,0.0001687,0.0,0.0
9665.0,0.0001676,0.0,0.0
9670.0,0.0001601,0.0,0.0
9675.0,0.0001503,0.0,0.0
9680.0,0.0001518,0.0,0.0
9685.0,0.0001436,0.0,0.0
9690.0,0.0001455,0.0,0.0
9695.0,0.0001448,0.0,0.0
9700.0,0.000141,0.0,0.0
9705.0,0.0001406,0.0,0.0
9710.0,0.0001425,0.0,0.0
9715.0,0.0001407,0.0,0.0
9720.0,0.0001405,0.0,0.0
9725.0,0.0001436,0.0,0.0
9730.0,0.0001369,0.0,0.0
9735.0,0.0001355,0.0,0.0
9740.0,0.0001331,0.0,0.0
9745.0,0.0001328,0.0,0.0
9750.0,0.000135,0.0,0.0
9755.0,0.0001394,0.0,0.0
9760.0,0.0001372,0.0,0.0
9765.0,0.0001444,0.0,0.0
9770.0,0.000149,0.0,0.0
9775.0,0.0001455,0.0,0.0
9780.0,0.000146,0.0,0.0
9785.0,0.0001523,0.0,0.0
9790.0,0.0001559,0.0,0.0
9795.0,0.0001654,0.0,0.0
9800.0,0.0001766,0.0,0.0
9805.0,0.0001843,0.0,0.0
9810.0,0.0001911,0.0,0.0
9815.0,0.0001881,0.0,0.0
9820.0,0.0001894,0.0,0.0
9825.0,0.0001927,0.0,0.0
9830.0,0.0002043,0.0,0.0
9835.0,0.0002106,0.0,0.0
9840.0,0.0002215,0.0,0.0
9845.0,0.0002268,0.0,0.0
9850.0,0.0002249,0.0,0.0
9855.0,0.000223,0.0,0.0
9860.0,0.0002302,0.0,0.0
9865.0,0.0002408,0.0,0.0
9870.0,0.0002518,0.0,0.0
9875.0,0.0002625,0.0,0.0
9880.0,0.0002753,0.0,0.0
9885.0,0.0002788,0.0,0.0
9890.0,0.0002701,0.0,0.0
9895.0,0.0002746,0.0,0.0
9900.0,0.0002935,0.0,0.0
9905.0,0.0003173,0.0,0.0
9910.0,0.0003457,0.0,0.0
9915.0,0.0003452,0.0,0.0
9920.0,0.0003329,0.0,0.0
9925.0,0.0003443,0.0,0.0
9930.0,0.0003706,0.0,0.0
9935.0,0.0004079,0.0,0.0
9940.0,0.0004403,0.0,0.0
9945.0,0.0004343,0.0,0.0
9950.0,0.0004172,0.0,0.0
9955.0,0.0004448,0.0,0.0
9960.0,0.0005132,0.0,0.0
9965.0,0.0005635,0.0,0.0
9970.0,0.000559,0.0,0.0
9975.0,0.0005419,0.0,0.0
9980.0,0.0006007,0.0,0.0
9985.0,0.0006912,0.0,0.0
9990.0,0.0007258,0.0,0.0
9995.0,0.0007146,0.0,0.0
10000.0,0.0007529,0.0,0.0
10005.0,0.0008706,0.0,0.0
10010.0,0.0009465,0.0,0.0
10015.0,0.0009923,0.0,0.0
10020.0,0.001134,0.0,0.0
10025.0,0.001286,0.0,0.0
10030.0,0.001351,0.0,0.0
10035.0,0.001485,0.0,0.0
10040.0,0.001709,0.0,0.0
10045.0,0.001897,0.0,0.0
10050.0,0.002086,0.0,0.0
10055.0,0.002186,0.0,0.0
10060.0,0.002195,0.0,0.0
10065.0,0.002185,0.0,0.0
10070.0,0.002199,0.0,0.0
10075.0,0.002336,0.0,0.0
10080.0,0.002666,0.0,0.0
10085.0,0.003076,0.0,0.0
10090.0,0.003075,0.0,0.0
10095.0,0.002543,0.0,0.0
10100.0,0.00192,0.0,0.0
10105.0,0.001498,0.0,0.0
10110.0,0.001283,0.0,0.0
10115.0,0.001165,0.0,0.0
10120.0,0.00107,0.0,0.0
10125.0,0.0009833,0.0,0.0
10130.0,0.0009018,0.0,0.0
10135.0,0.0008207,0.0,0.0
10140.0,0.0007451,0.0,0.0
10145.0,0.0006811,0.0,0.0
10150.0,0.0006178,0.0,0.0
10155.0,0.0005661,0.0,0.0
10160.0,0.0005199,0.0,0.0
10165.0,0.0004868,0.0,0.0
10170.0,0.0004541,0.0,0.0
10175.0,0.0004291,0.0,0.0
10180.0,0.0004135,0.0,0.0
10185.0,0.000399,0.0,0.0
10190.0,0.0003878,0.0,0.0
10195.0,0.0003815,0.0,0.0
10200.0,0.0003722,0.0,0.0
10205.0,0.0003691,0.0,0.0
10210.0,0.0003726,0.0,0.0
10215.0,0.0003711,0.0,0.0
10220.0,0.0003744,0.0,0.0
10225.0,0.0003778,0.0,0.0
10230.0,0.0003808,0.0,0.0
10235.0,0.0003826,0.0,0.0
10240.0,0.0003852,0.0,0.0
10245.0,0.0003919,0.0,0.0
10250.0,0.0003975,0.0,0.0
10255.0,0.000399,0.0,0.0
10260.0,0.0004053,0.0,0.0
10265.0,0.0004176,0.0,0.0
10270.0,0.0004232,0.0,0.0
10275.0,0.0004291,0.0,0.0
