x,f
27370.0,0.001
27375.0,0.00115
27380.0,0.00125
27385.0,0.0014
27390.0,0.0015
27395.0,0.00159304
27400.0,0.00162396
27405.0,0.00176216
27410.0,0.00190036
27415.0,0.00203856
27420.0,0.00216538
27425.0,0.00202324
27430.0,0.0018811
27435.0,0.00173896
27440.0,0.00159682
27445.0,0.00145468
27450.0,0.00131253
27455.0,0.00117039
27460.0,0.00102825
27465.0,0.000886108
27470.0,0.000743963
27475.0,0.000601821
27480.0,0.000459679
27485.0,0.00051482
27490.0,0.000573044
27495.0,0.000631269
27500.0,0.000689493
27505.0,0.000747718
27510.0,0.000805942
27515.0,0.000864167
27520.0,0.000922392
27525.0,0.000980617
27530.0,0.00103884
27535.0,0.00109707
27540.0,0.00115528
27545.0,0.00121351
27550.0,0.00127173
27555.0,0.00132996
27560.0,0.00138818
27565.0,0.00144641
27570.0,0.00150463
27575.0,0.00156286
27580.0,0.00162108
27585.0,0.00167931
27590.0,0.00173753
27595.0,0.00179575
27600.0,0.00185398
27605.0,0.0019122
27610.0,0.00197043
27615.0,0.00202865
27620.0,0.00208688
27625.0,0.0021451
27630.0,0.00220333
27635.0,0.00226155
27640.0,0.00231978
27645.0,0.002378
27650.0,0.00243623
27655.0,0.00249444
27660.0,0.00255267
27665.0,0.00261089
27670.0,0.00266912
27675.0,0.00272734
27680.0,0.00278557
27685.0,0.00284379
27690.0,0.00290202
27695.0,0.00296024
27700.0,0.00301847
27705.0,0.00307669
27710.0,0.00313491
27715.0,0.00319313
27720.0,0.00325136
27725.0,0.00330958
27730.0,0.00336781
27735.0,0.0033166
27740.0,0.00321583
27745.0,0.00311505
27750.0,0.00322165
27755.0,0.00346058
27760.0,0.00369953
27765.0,0.00393846
27770.0,0.00417739
27775.0,0.00441633
27780.0,0.00442256
27785.0,0.00413791
27790.0,0.00417894
27795.0,0.00425583
27800.0,0.00433273
27805.0,0.00440963
27810.0,0.00449259
27815.0,0.00444532
27820.0,0.0041754
27825.0,0.00384814
27830.0,0.00341823
27835.0,0.00311003
27840.0,0.00286548
27845.0,0.00273912
27850.0,0.002708
27855.0,0.00270882
27860.0,0.00270866
27865.0,0.00270816
27870.0,0.00271228
27875.0,0.00278044
27880.0,0.00286135
27885.0,0.00300163
27890.0,0.00315222
27895.0,0.00333394
27900.0,0.00348231
27905.0,0.00364966
27910.0,0.00383242
27915.0,0.00397733
27920.0,0.00410299
27925.0,0.00426332
27930.0,0.00441165
27935.0,0.0045404
27940.0,0.00465544
27945.0,0.00491897
27950.0,0.00523429
27955.0,0.0054539
27960.0,0.0057442
27965.0,0.00596314
27970.0,0.00607198
27975.0,0.00607338
27980.0,0.00599162
27985.0,0.00595079
27990.0,0.00604655
27995.0,0.00618239
28000.0,0.00656998
28005.0,0.00693885
28010.0,0.00738561
28015.0,0.00773029
28020.0,0.00790493
28025.0,0.00772072
28030.0,0.00740226
28035.0,0.0065386
28040.0,0.00530328
28045.0,0.00423
28050.0,0.00345735
28055.0,0.00321167
28060.0,0.00316694
28065.0,0.00330966
28070.0,0.00347431
28075.0,0.00368089
28080.0,0.00392006
28085.0,0.00405246
28090.0,0.00416408
28095.0,0.0040871
28100.0,0.00398224
28105.0,0.00407316
28110.0,0.00419498
28115.0,0.0044499
28120.0,0.00477881
28125.0,0.0050827
28130.0,0.00537384
28135.0,0.0057024
28140.0,0.00591906
28145.0,0.00596745
28150.0,0.00592363
28155.0,0.00580363
28160.0,0.00560812
28165.0,0.0053745
28170.0,0.00516202
28175.0,0.00498389
28180.0,0.00495294
28185.0,0.0050493
28190.0,0.00517576
28195.0,0.00526042
28200.0,0.00522957
28205.0,0.00532404
28210.0,0.0053963
28215.0,0.00553353
28220.0,0.00568057
28225.0,0.00578679
28230.0,0.00583795
28235.0,0.0059381
28240.0,0.0060933
28245.0,0.00640001
28250.0,0.00669056
28255.0,0.00704863
28260.0,0.00741339
28265.0,0.00787421
28270.0,0.0083557
28275.0,0.00897672
28280.0,0.00958486
28285.0,0.0101972
28290.0,0.0108463
28295.0,0.0114105
28300.0,0.0118935
28305.0,0.0122404
28310.0,0.0125053
28315.0,0.0128759
28320.0,0.0132169
28325.0,0.0137796
28330.0,0.0146488
28335.0,0.0157324
28340.0,0.0168897
28345.0,0.017856
28350.0,0.0187101
28355.0,0.0192197
28360.0,0.0194106
28365.0,0.0190711
28370.0,0.0186585
28375.0,0.0182149
28380.0,0.0182219
28385.0,0.0185639
28390.0,0.0191924
28395.0,0.0201342
28400.0,0.0212312
28405.0,0.0226362
28410.0,0.023961
28415.0,0.0255156
28420.0,0.0271338
28425.0,0.0287904
28430.0,0.0304268
28435.0,0.0317055
28440.0,0.0328248
28445.0,0.0336026
28450.0,0.0336867
28455.0,0.0326393
28460.0,0.0299356
28465.0,0.0256607
28470.0,0.0211545
28475.0,0.0179508
28480.0,0.0159757
28485.0,0.0149569
28490.0,0.0146214
28495.0,0.0146214
28500.0,0.0148217
28505.0,0.0151379
28510.0,0.0153816
28515.0,0.0158087
28520.0,0.0162186
28525.0,0.0166627
