x,f
15140.0,0.0
15150.0,0.001
15160.0,0.001
15170.0,0.001
15180.0,0.001
15190.0,0.001
15200.0,0.001
15210.0,0.001
15220.0,0.001
15230.0,0.001
15240.0,0.0
15250.0,0.0
15260.0,0.0
15270.0,0.000606
15280.0,0.001
15290.0,0.001
15300.0,0.001
15310.0,0.001
15320.0,0.001
15330.0,0.001
15340.0,0.001
15350.0,0.002
15360.0,0.002
15370.0,0.002
15380.0,0.002
15390.0,0.002
15400.0,0.00249
15410.0,0.003
15420.0,0.003
15430.0,0.003
15440.0,0.004
15450.0,0.004
15460.0,0.005
15470.0,0.005
15480.0,0.006
15490.0,0.007
15500.0,0.008
15510.0,0.009
15520.0,0.01
15530.0,0.011
15540.0,0.0125
15550.0,0.0146
15560.0,0.016
15570.0,0.018
15580.0,0.02
15590.0,0.0223
15600.0,0.025
15610.0,0.0269
15620.0,0.03
15630.0,0.033
15640.0,0.0363
15650.0,0.0401
15660.0,0.0442
15670.0,0.0467
15680.0,0.0514
15690.0,0.0555
15700.0,0.0596
15710.0,0.0643
15720.0,0.0694
15730.0,0.0737
15740.0,0.0788
15750.0,0.0838
15760.0,0.0886
15770.0,0.0937
15780.0,0.0989
15790.0,0.103
15800.0,0.107
15810.0,0.11
15820.0,0.114
15830.0,0.116
15840.0,0.118
15850.0,0.119
15860.0,0.12
15870.0,0.121
15880.0,0.12
15890.0,0.12
15900.0,0.119
15910.0,0.117
15920.0,0.116
15930.0,0.113
15940.0,0.11
15950.0,0.107
15960.0,0.103
15970.0,0.0997
15980.0,0.0958
15990.0,0.0915
16000.0,0.088
16010.0,0.0841
16020.0,0.0794
16030.0,0.0753
16040.0,0.0717
16050.0,0.0683
16060.0,0.0643
16070.0,0.0608
16080.0,0.0569
16090.0,0.0531
16100.0,0.0502
16110.0,0.0477
16120.0,0.044
16130.0,0.0423
16140.0,0.0394
16150.0,0.037
16160.0,0.0351
16170.0,0.033
16180.0,0.031
16190.0,0.029
16200.0,0.0279
16210.0,0.026
16220.0,0.025
16230.0,0.0232
16240.0,0.022
16250.0,0.021
16260.0,0.02
16270.0,0.019
16280.0,0.018
16290.0,0.017
16300.0,0.0165
16310.0,0.015
16320.0,0.014
16330.0,0.013
16340.0,0.013
16350.0,0.012
16360.0,0.011
16370.0,0.011
16380.0,0.01
16390.0,0.01
16400.0,0.009
16410.0,0.009
16420.0,0.009
16430.0,0.008
16440.0,0.008
16450.0,0.00701
16460.0,0.007
16470.0,0.007
16480.0,0.00698
16490.0,0.006
16500.0,0.0058
16510.0,0.005
16520.0,0.005
16530.0,0.005
16540.0,0.004
16550.0,0.004
16560.0,0.004
16570.0,0.004
16580.0,0.004
16590.0,0.004
16600.0,0.004
16610.0,0.004
16620.0,0.004
16630.0,0.004
16640.0,0.003
16650.0,0.003
16660.0,0.003
16670.0,0.003
16680.0,0.003
16690.0,0.003
16700.0,0.003
16710.0,0.003
16720.0,0.003
16730.0,0.003
16740.0,0.003
16750.0,0.003
16760.0,0.003
16770.0,0.003
16780.0,0.003
16790.0,0.003
16800.0,0.003
16810.0,0.003
16820.0,0.003
16830.0,0.003
16840.0,0.003
16850.0,0.004
16860.0,0.004
16870.0,0.004
16880.0,0.004
16890.0,0.005
16900.0,0.005
16910.0,0.006
16920.0,0.006
16930.0,0.007
16940.0,0.00741
16950.0,0.00815
16960.0,0.009
16970.0,0.0101
16980.0,0.011
16990.0,0.012
17000.0,0.014
17010.0,0.015
17020.0,0.017
17030.0,0.0185
17040.0,0.0197
17050.0,0.0224
17060.0,0.0247
